month,definition_id,numerator,denominator,pct,excluded_no_arrival
2025-07,dispatch_original_medic,2666,3148,0.8469,4160
2025-08,dispatch_original_medic,2816,3373,0.8349,4312
2025-09,dispatch_original_medic,2661,3198,0.8321,4162
2025-10,dispatch_original_medic,2760,3343,0.8256,4495
2025-11,dispatch_original_medic,2551,3056,0.8348,4343
2025-12,dispatch_original_medic,2898,3546,0.8173,5176
2026-01,dispatch_original_medic,2899,3508,0.8264,4561
2026-02,dispatch_original_medic,2678,3196,0.8379,3860
2026-03,dispatch_original_medic,3007,3523,0.8535,4339
2026-04,dispatch_original_medic,2737,3208,0.8532,4028
2026-05,dispatch_original_medic,2841,3381,0.8403,4176
2026-06,dispatch_original_medic,2781,3249,0.856,4056
2025-07,dispatch_final_ambulance,4146,4914,0.8437,3435
2025-08,dispatch_final_ambulance,4255,5118,0.8314,3542
2025-09,dispatch_final_ambulance,4008,4875,0.8222,3558
2025-10,dispatch_final_ambulance,4228,5219,0.8101,3709
2025-11,dispatch_final_ambulance,3931,4757,0.8264,3579
2025-12,dispatch_final_ambulance,4207,5270,0.7983,4412
2026-01,dispatch_final_ambulance,4257,5270,0.8078,3780
2026-02,dispatch_final_ambulance,3900,4755,0.8202,3258
2026-03,dispatch_final_ambulance,4422,5373,0.823,3533
2026-04,dispatch_final_ambulance,4081,4898,0.8332,3272
2026-05,dispatch_final_ambulance,4267,5165,0.8261,3421
2026-06,dispatch_final_ambulance,4062,4857,0.8363,3307
2025-07,dispatch_ctg_any_responder,5449,6431,0.8473,252
2025-08,dispatch_ctg_any_responder,5600,6617,0.8463,291
2025-09,dispatch_ctg_any_responder,5320,6474,0.8217,323
2025-10,dispatch_ctg_any_responder,5612,6769,0.8291,244
2025-11,dispatch_ctg_any_responder,5107,6147,0.8308,226
2025-12,dispatch_ctg_any_responder,5530,6584,0.8399,213
2026-01,dispatch_ctg_any_responder,5685,6753,0.8418,234
2026-02,dispatch_ctg_any_responder,5070,6119,0.8286,243
2026-03,dispatch_ctg_any_responder,5878,6961,0.8444,306
2026-04,dispatch_ctg_any_responder,5424,6392,0.8486,255
2026-05,dispatch_ctg_any_responder,5556,6619,0.8394,279
2026-06,dispatch_ctg_any_responder,5244,6302,0.8321,244
2025-07,received_final_ambulance,3294,4914,0.6703,3435
2025-08,received_final_ambulance,3324,5118,0.6495,3542
2025-09,received_final_ambulance,3190,4875,0.6544,3558
2025-10,received_final_ambulance,3394,5219,0.6503,3709
2025-11,received_final_ambulance,3138,4757,0.6597,3579
2025-12,received_final_ambulance,3293,5270,0.6249,4412
2026-01,received_final_ambulance,3311,5270,0.6283,3780
2026-02,received_final_ambulance,3029,4755,0.637,3258
2026-03,received_final_ambulance,3518,5373,0.6548,3533
2026-04,received_final_ambulance,3284,4898,0.6705,3272
2026-05,received_final_ambulance,3451,5165,0.6682,3421
2026-06,received_final_ambulance,3219,4857,0.6628,3307
2025-07,received_original_medic,2099,3148,0.6668,4160
2025-08,received_original_medic,2194,3373,0.6505,4312
2025-09,received_original_medic,2094,3198,0.6548,4162
2025-10,received_original_medic,2188,3343,0.6545,4495
2025-11,received_original_medic,1999,3056,0.6541,4343
2025-12,received_original_medic,2225,3546,0.6275,5176
2026-01,received_original_medic,2254,3508,0.6425,4561
2026-02,received_original_medic,2053,3196,0.6424,3860
2026-03,received_original_medic,2358,3523,0.6693,4339
2026-04,received_original_medic,2180,3208,0.6796,4028
2026-05,received_original_medic,2256,3381,0.6673,4176
2026-06,received_original_medic,2200,3249,0.6771,4056
